
City	FAA	IATA	ICAO	Airport	Role	Enplanements
Louisville	SDF	SDF	KSDF	Louisville International Airport (Standiford Field)	P-M	1,651,037
Owensboro	OWB	OWB	KOWB	Owensboro-Daviess County Regional Airport	P-N [nb 8]	16,193
Paducah	PAH	PAH	KPAH	Barkley Regional Airport	P-N	19,903
LOUISIANA						
Alexandria	AEX	AEX	KAEX	Alexandria International Airport	P-N	179,129
Baton Rouge	BTR	BTR	KBTR	Baton Rouge Metropolitan Airport (Ryan Field)	P-S	382,687
Lafayette	LFT	LFT	KLFT	Lafayette Regional Airport	P-N	220,211
Lake Charles	LCH	LCH	KLCH	Lake Charles Regional Airport	P-N	65,340
Monroe	MLU	MLU	KMLU	Monroe Regional Airport	P-N	100,419
New Orleans	MSY	MSY	KMSY	Louis Armstrong New Orleans International Airport	P-M	4,088,889
Shreveport	SHV	SHV	KSHV	Shreveport Regional Airport	P-N	237,945
MAINE						
Bangor	BGR	BGR	KBGR	Bangor International Airport	P-N	416,328
Bar Harbor	BHB	BHB	KBHB	Hancock County-Bar Harbor Airport	P-N	11,109
Portland	PWM	PWM	KPWM	Portland International Jetport	P-S	851,566
Presque Isle	PQI	PQI	KPQI	Northern Maine Regional Airport at Presque Isle	P-N	15,052
Rockland	RKD	RKD	KRKD	Knox County Regional Airport	P-N	17,657
MARYLAND						
Baltimore / Glen Burnie	BWI	BWI	KBWI	Baltimore/Washington International Thurgood Marshall Airport	P-L	10,848,633
Salisbury	SBY	SBY	KSBY	Salisbury-Ocean City Wicomico Regional Airport	P-N	65,489
Hagerstown	HGR	HGR	KHGR	Hagerstown Regional Airport (Richard A. Henson Field)	P-N [nb 9]	10,665
MASSACHUSETTS						
Boston	BOS	BOS	KBOS	Gen. Edward Lawrence Logan International Airport	P-L	13,561,814
Hyannis	HYA	HYA	KHYA	Barnstable Municipal Airport (Boardman/Polando Field)	P-N	124,560
Nantucket	ACK	ACK	KACK	Nantucket Memorial Airport	P-N	201,390
New Bedford	EWB	EWB	KEWB	New Bedford Regional Airport	P-N	12,363
Provincetown	PVC	PVC	KPVC	Provincetown Municipal Airport	P-N	11,450
Vineyard Haven	MVY	MVY	KMVY	Martha's Vineyard Airport	P-N	43,904
Worcester	ORH	ORH	KORH	Worcester Regional Airport	P-N [nb 10]	35,833
MICHIGAN						
Charlevoix	CVX		KCVX	Charlevoix Municipal Airport	P-N	14,966
